InvestorName,startupName,InvestorID
['GANESH NATARAJAN'],1CROWD,I_00223
['JAYABALAN SUBRAMANIAN'],ACTONMAGIC,I_00303
"['MUNISH JAUHAR', 'GROWX VENTURES', 'SHARAD SHARMA', 'MUMBAI ANGELS', 'INDIAN ANGEL NETWORK']",ADSPARX,I_00439
"['SANDEEP TANDON', 'KUNAL SHAH', 'ANAND CHANDRASEKARAN', 'GIRISH MATHRUBOOTHAM']",CROWN-IT,I_00363
